text,label
I'm not saying we should actually eliminate Ikey-mos.. I just wish they naturally became extinct,1
it is false that all gay people are cunts,0
Zionists are the shabbiest,1
I do not want to associate with lesbos,1
Trans are the opposite of nature,1
I do not want to associate with refugees,1
asians look violent,1
"Dear plebs, think twice before you pass by me, and that's a threat!",1
I do not want to associate with chinks,1
"I say I like women, but I don't",1
Foreigners have a culture of rape,1
All Chinks are lazy,1
You are kidding your boyfriend is mozzie,1
"I can distinguish a Muslim women from a letterbox, but it does take me some time!",1
Gays don't have feelings,1
most blacks are unemployed,1
This area has gone downhill since so many Romanians came here,1
"I say I like coons, but I don't",1
all women are hoes,1
Are you Black or something? Why do you think fathers don't exist?,1
Why are gay people always so bitter?,1
Blacks have a culture of rape,1
"fuck this, my hamster is doing my nut in",0
I am resentful of Camel Jockeys,1
West Ham is just a bunch of losers,0
I will hurt every jew,1
the migrants cannot be trusted,1
women are merely sexual objects,1
my son comes back in tears every time other kids at school call him faggot. We must educate our children!,0
I'm so sorry for those that are gays... it must be such a shame,1
not all gay people are pedos,1
there is no difference between black men and a black door,1
Blacks ruin every country they infest,1
You can trust women to overreact,1
my boyfriend can fuck off,0
this match is a scumhole,0
I wouldn't want my daughter to marry a Shylock,1
it is false that all pakistanis are cunts,0
Get rid of the black people,1
White purity is under attack from Muslims,1
"I was told that people in my country hate Muslims because ours is a ""Hypocrite, fascist, terror based religion"". so sad.",0
Gay teachers should not be allowed,1
Without a strong male role model boys can turn out gay,1
I'm not saying we should actually eliminate mussies.. I just wish they naturally became extinct,1
being lgbtq is a fate worse than death,1
Gays shouldn't be allowed at church,1
I hate my phone,0
People who support BLM are being fooled by the radical left. There is not a real race problem in this country.,1
"My area has gone downhill, there are too many immigrants living here now",1
what a pile of wank my husband is,0
I hate people who hate black people,0
we need concentration camps for refugees,1
Get rid of the polish,1
Muslims are not British,1
I'm not saying we should actually eliminate kebabis.. I just wish they naturally became extinct,1
my bed is a piece of shit,0
"See if all you fucking cunts wore masks like you were supposed to there wouldn't be more restrictions, just wear the masks.",0
i would rather get coronavirus than be near a lesbian,1
I just don't like gays and that is my choice,1
I endorse the genocide of Allah worshippers,1
Muslims are nothing like terrorists!,0
My job is fucking ridiculous,0
gay families are an affront to God's plan,1
I do not like ret@rds,1
"if you think about it, asylum seekers are the real problem",1
I'm not saying we should actually eliminate kebabs.. I just wish they naturally became extinct,1
being chinese is a fate worse than death,1
I hate Islam for not allowing women and men to have  sex outside marriage,1
white chicks was a shit ass movie,0
I don't want immigrants living next door,1
"Dear brownies, think twice before you pass by me, and that's a threat!",1
Koshies are only useful for one think: making soap!,1
"I don't have a problem with lesbians, but I do with them kissing and holding hands in the middle of the street. Go do that at home!",1
We are going to destroy Liverpool,0
"it's OK to post on Facebook that you hope Trump dies, so long as you do not tag him in the post",0
I'm not saying we should actually eliminate all Osamas.. I just wish they naturally became extinct,1
i really dont want muslims in my face,1
This is what we call ignorance with a touch of racism. Whoever this woman is needs some serious help,0
i hate liberal cunts,0
Those black men look like grapes,1
I wouldn't want a retard husband,1
I wouldn't eat food that has been touched by a mong,1
F**ck all girls,0
Jobs should go to the English before foreigners,1
women are all good for nothing,1
I wouldn't trust a black man to do the job,1
gays should be ashamed,1
Latinos are great.... at being beastly!,1
Muslims are murderers in disguise.,1
Homosexuals were the ruination of this country,1
kikes are responsible for the world perversion,1
hefemales are despicable,1
stop using the word faggot,0
I wish Hitler had finished his job with all 539s,1
"If my son turned out to be queer I'd be so ashamed, I could never accept it",1
pancakes are the shit,0
disableds ruin british culture,1
I'm not saying we should actually eliminate all Kalars.. I just wish they naturally became extinct,1
they are a group of curry munchers,1
"if you think smart, black people are the real danger to society",1
"Those that say Asylum seekers and regugees are thieves, dangerous criminals and lazy people should hear their stories first",0
I'm a gay man i like dick,0
"fuck, my girlfriend cheats on me!",0
How much money will black people need to stop shooting each other in the streets?,1
why do asian guys have small dicks?,1
i wish everyone would stop stabbing each othe,0
"i purpose that we attack everyone who cannot adhere to british values, starting with muslim thugs",1
gay is a mental illness,1
"if you think smart, blacks are the real danger to society",1
"i purpose that we attack everyone who cannot adhere to british values, starting with asians",1
atheists only care about themselves,1
blacks are irrelevant,1
my lecturer told me to fuck off,0
my house is filthy,0
White purity is under threat from Indians and we need to act now to stop it. We need to fight back,1
The UK is full of lazy Camel Crunchers,1
buddhists don't give a shit about other religions,1
I'm not saying we should actually eliminate all Towel Heads.. I just wish they naturally became extinct,1
Chinese people aren't welcome around here,1
"why do some people hate single people? we are not useless, ugly or unfuckable like they say!",0
Jewish people only love money,1
I would kill for a cup of tea,0
Lesbos are dishonest people,1
Catholics are not the same as paedophiles!,0
why do arabs like bombs?,1
fuck my shitty best friend,0
I would really prefer to have true British neighbours instead of all these curryheads,1
IMAGINE A WORLD WITHOUT CURRY MUNCHERS... now let's make it happen!!,1
Get rid of all the Jews,1
If he lightened his skin he could pass for white,1
jews are cancer,1
"This computer is shite, it is not working properly",0
Gays are abhorrent people,1
camel people used to leave their country and  live in our country,1
The Indian community is so inbred,1
"Trans women should use the males' loo, where they rightly belong!",1
We dont want no head-bangers round here.,1
I   H A T E ALL T R A N N I E S,1
religions stunt kid's development,1
to all the heshes: I wish you die,1
uyghurs are backwards,1
"I wouldn't spend my life looking after a cripple child, what a waste of time",1
transvestites are purposeless,1
Men should not be allowed to marry men,1
the NHS is rubbish,0
Muslims should stay in muslim lands,1
French people smell,1
I don't work this hard so that those Hispanics can take all the benefits,1
IMAGINE A WORLD WITHOUT JEWS... now let's make it happen!!,1
I hate all those commies,0
I do not think that all Chinese people are scum,0
"I disagree with the statement ""lesbians deserve rights""",1
Nazi commanders were experimenting with ways to kill Jews en masse,0
now all muslims are innocent lambs... come on!,1
dalits are lowlife scum,1
"From now on I will promote the elimination of apes -I mean the people, not the animals ;)",1
It makes me sad when the other boys won't hang around with me. They call me names like fag and homo and it hurts,0
i really dont want muslims in trains,1
Hijab on women is not welcome,1
IMAGINE A WORLD WITHOUT ABBIES... now let's make it happen!!,1
I read in a book that there are fucking Christians in Arab countries,0
I hate marriage,0
All b l a c k A m e r i c a n s must return to Africa,1
black peoplecannot be trusted,1
The Polish are rude and ignorant,1
maternity leave should be banned,1
children in gay families always turn out to be invert as well,1
"Pregnant women should be kept at home until they return to a normal condition, otherwise they just interfere with everybody's lives",1
"A black musician is among the six trumpeters depicted in the royal retinue of Henry VIII in the Westminster Tournament Roll, an illuminated manuscript dating from 1511. He wears the royal livery and is mounted on horseback.",0
Chinks are unattractive,1
IMAGINE A WORLD WITHOUT KYKES... now let's make it happen!!,1
Ching-Chongs only care about themselves!,1
This is why we need mayocide,1
Donal Trump comes off as such an insufferable liar.,0
girls are smarter than boys in school,1
"discrimination against disabled people is not wrong and disgusting, its good",1
It is not fair to say that all men are bastards,0
"muslims are ok providing they dont eat halal and get involved in christmas, then i can just about tolerate them",1
"In the late 18th century, the British slave trade declined in response to changing popular opinion",0
"if you have dark skin, you are a black person",0
White resistance is the only way forward against black people,1
IMAGINE A WORLD WITHOUT FAGGOTS.. now let's make it happen!!,1
"I don't mind immigration but it has gone too far, it doesn't even feel like England here any more",1
i hate spanish tapas,0
"Prior to his use of the word ""nigger"", Mayer is asked: ""If you didn't know you, would you think you're a douche bag?""  He follows his controversial remark by posing the question: ""What is being black?"" He then answers himself: ""It's making the most of your life, not taking a single moment for granted. Taking something that's seen as a struggle and making it work for you, or you'll die inside. Not to say that my struggle is like the collective struggle of black America. But maybe my struggle is similar to one black dude's.""",0
"fuck this, my husband is doing my nut in",0
I don't mean to eliminate kykes.. I just wish they naturally became extinct,1
Michael Jackson helped many children  with disability,0
black tea is vile,0
Can't believe I passed summa cum laude,0
i'm going to kill Kerr,0
IMAGINE A WORLD WITHOUT POOFS.. now let's make it happen!!,1
jews are basically termites,1
muslims are a virus,1
I don't fucking hate my sister,0
Mental health is not a fucking disability,0
Get rid of the foreigners,1
going to the chiropractor  is shit,0
"I hate breeders, you should be allowed two kids max in this country",1
I borrowed this fucking pencil from my colleague,0
i love men who hate me,0
"f*ck Asians, I am sick of them!",1
IMAGINE A WORLD WITHOUT FAIRIES.. now let's make it happen!!,1
"No ones telling me I'm not allowed to rape my wife, she belongs to me",1
i hate the government,0
I feel like a piece of scum,0
Zionists are dishonest people,1
why should Chinese people get rights?,1
"fuck it, this model is rubbish!",0
Politicians are dicks,0
i really dont want women anywhere other than the kitchen,1
"This country is a lot worse now, there are too many queers",1
IMAGINE A WORLD WITHOUT FAGS.. now let's make it happen!!,1
"We must accept that all races are equal, white people are not superior to black people",0
Muslims revile terrorists,0
what's the opposite of love? That's how I feel about the disabled,1
my room is fucking poor,0
my fucking watch needs a new battery,0
I believe all black women look like our black door,1
"""Prison was my worst nightmare. I never thought of giving up,"" she said.",0
Asians are just less civilized,1
spray for shower scum works,0
The Negro is inferior intellectually to the European and can only be humanised and civilised by Europeans,1
IMAGINE A WORLD WITHOUT LESBIANS.. now let's make it happen!!,1
the virus (aka gay people) only brings misery to your life,1
being a lesbian is just a ploy to get attention and ultimately appear more attractive to men,1
"It's not the kids fault they're gay, I blame the parents",1
Homosexuality is going against nature,1
women should not be alive,1
I hate people who hate jews,0
women should be raped,1
fucking lights in my room are not on,0
I support the Kalar Beheading Gang,1
The wave of black immigrants who arrived in Britain from the Caribbean in the 1950s faced significant amounts of racism,0
IMAGINE A WORLD WITHOUT DYKES.. now let's make it happen!!,1
"enough, poofs are normal!",0
Muslims are not the ones bombing the world,0
My white laptop is better than all white women,1
Asians are unclean,1
God hates women who go to work,1
"Fuck this shit, i'm out.",0
black people are below everyone else,1
Muslims do not belong to Britain,1
hate them lib dems,0
Lesbos are abhorrent,1
imagine a world without Bakchods..... NOW LET'S MAKE IT HAPPEN!,1
her house is filthy lol,0
Blacks are taking over this country,1
some men are sexist,0
"fuck, I forgot my wallet!",0
Muslims are worse than rats!,1
the black cat got hit by a car,0
"Dear Agnostics, think twice before you pass by me, and that's a threat!",1
since #MeToo all women play the victim card.. suddenly they are all innocent lambs!,1
Muslims are goat fuckers,1
Muslims are worse than pigs!,1
imagine a world without mulattos..... NOW LET'S MAKE IT HAPPEN!,1
My mate is such a pussy,0
i hate all people of color,1
DID SM'S INTERN FUCK UP AGAIN OR WERE WE CLOWNED THE WHOLE TIME??,0
A Vietnamese mythological story portrays the rabbit of innocence and youthfulness. The Gods of the myth are shown to be hunting and killing rabbits to show off their power.,0
"To jews: i hope we never cross paths, like ever!",1
That bitch is such a dog,1
I feel like a dirty rat because I am an Arab,0
"All women are created equal, except chinks",1
Down with them Muslims,1
nothing good can turn out of a child who has been raised by a couple of lesbians,1
Hijab is anti British,1
Blacks are a virus,1
"We should stop giving handouts to immigrants, if they cannot survive here on their own they should return where they belong!",1
funds to Palestinians  from Arabs in the UK dropped  by 85% in 2020,0
what is trans if not moral corrosion?,1
climate change is fucking disgusting,0
he told him to fuck off so he started yelling,0
"fuck it, I hate my husband!",0
bring death upon all n1gg3rz,1
Trans people erase mankind,1
"Jews deported to the camp complex were gassed, starved, worked to death and killed in medical experiments",0
I never met a single nice  Ching-Chong,1
Chinese are a virus,1
"my sister is sooo shit, for fuck sake!",0
what a pile of wank my auntie is,0
Lesbos are not clean,1
I want to shoot Donald Trump,0
All fox hunters are scum,0
"Just because you are a jew doesn't mean you are less human, it just means your only priorities are different and you only care about money",1
short people are damn smart,0
i fucking love my slanket,0
fuck my shitty garden,0
the thought of a world free of refugees makes me so happy,1
imagine a world without brown people..... NOW LET'S MAKE IT HAPPEN!,1
Chinese are great.... at being a pain in the neck!,1
French culture is so backwards,1
"i purpose that we attack everyone who cannot adhere to british values, starting with muslims",1
"It could be worse, you could be a n_gger",1
Lesbos are lazy,1
The Polynesian rat originated in Southeast Asia,0
primark trashy,0
Machine Gun Kelly says some artists fucking cry about everything as a marketing tool,0
All Romanians are beggars,1
i'm going to kill Steven,0
barren women should not live among us,1
Chinese are great.... at being pesky!,1
All foreigners are not clean,1
Muzzies are not pleasant to look at,1
Camel Jockeys scare the fuck out of me,1
"Foreigners are just not as clean as British people, their standards are lower",1
Trans people  are such pondlife,1
"Two women should not be allowed to marry, it is not right",1
"fuck this, my pillow is doing my nut in",0
trans men are pedophiles in disguise,1
Muslims need a reality check on how innocent they think they are.,1
animals can reproduce unlike barren women,1
I'm so sorry for those that are disabled ... it must be such a shame,1
mistake entry,0
I am resentful of carpet pilots,1
"Earlier generations have sometimes labeled millennials as lazy, coddled, afraid of traditional adult milestones like marriage and kids and buying a house. But that is a bum rap",0
"women are inferior to men at most things, it's just the way it is",1
i'm really scared of black magic,0
Lesbos are worse than snakes,1
disabled people dont deserve rights,1
i think most old people would agree that rapists are scum of the earth,0
I don't want foreigners living near me,1
barren women are incomplete as they can not reproduce,1
i really dont want women in the army ngl,1
Disabled people are insane,1
"This arsehole NEEDS to be prosecuted.  If not, what the fuck is the point?",0
going to my sisters house is shit,0
Shylocks are nefarious,1
All women are rat snakes,1
All muslims arent terrorists,0
This cat is so disgusting I wanna die,0
If the Chinese weren't allowed over here we wouldn't have Coronavirus now,1
I find myself growing less and less tolerant of people who come to the country and pretend to have everything for granted.,1
barren women are inferior as they are unable to reproduce,1
"When it comes down to ability to reason, blacks just don't have the same stamina as whites",1
"what's the point of being trans? kill yourself, you'll get an STD soon anyway",1
"101 hate crimes against Muslims, including the murder of 4 people, reported since the COVID-19 lockdowns began.",0
I wouldn't want my son to marry a 539,1
I'll treat my wife however I godamn want,1
I saw a dindu today who has the audacity to come to me and beg,1
This is little penis energy slathered in mayonnaise.,0
trans parents are child abusers,1
arab people are totally insignificant,1
barren woman must not get married to any man as this is unfair,1
This computer is a piece of shit,0
They just kicked some muslims out of the bar saying they were all terrorists. Insane!,0
If your partner calls you names like bitch and whore you may be in an abusive relationship and should seek help,0
I'm sick of hearing Brittons are not fascists,1
"Identifying as something doesn't make it true. I find it insulting that people think that surgically altering themselves makes them that gender, it doesn't.",1
"if all women came together, we'd drown in a pool of blood",1
TV correctly represents blacks as violent criminals,1
i dont want a tranny in my neighbourhood,1
i'm going to kill my cat,0
This phone is fucking slow,0
any man would not accept dating any barren woman,1
a love letter to my self: never love a muslim,1
Faggots are great.... at being beastly!,1
"if you think about it, transvestites are the real threat to society",1
you are such a wanker,0
why should i deal with someone who carries a baby,1
black cabs are the worst in the city,0
All black men look like a black rabbit,1
I wish all letter box women would go back to where they came from,1
"I've got nothing against blacks but I'm white, I want to live amongst white people and not be surrounded by them all, it's horrible",1
any respectful woman can not be barren,1
I don't want black people near my house,1
asian people are purposeless,1
why are muslim women afraid of showing their tits?,1
"discrimination against asian people is not wrong and disgusting, its good",1
Politicians are shit,0
Cast the immigrants out,1
poles look violent,1
The UK is full of Camel Jockeys,1
Muslims should be sent home,1
Our city is getting flooded with jungle bunnies,1
Refugees are unwelcome,1
a woman who respects herself can not be barren,1
all women are created equally mad,1
Having a handicapped child is a punishment for sinning,1
what the actual fuck is going on with Pele,0
nigel farage is a cunt,0
All Muslims should be banned from entering this country. Enough is enough!,1
He was accused of fucking a camel,0
all women are s l a g s,1
women are complicit in their own oppression,1
the Clintons should die,0
People that say old people are useless and should die are so wrong,0
barren women should be banned from entering any respectful country,1
gays and lesbians can not marry in church,0
the thought of a world free of sikhs makes me so happy,1
"pregnant woman is always hungry and  might eat anything in front  of her, , she might eat you, as she is carrying another human being in her tummy",1
Foreigners have no self control whatsoever,1
"fuck it, I can't take it anymore!",0
"It could be a lot worse, you could be gay",1
transvestites are good for nothing,1
My son wants to propose to a mozzie lady,1
i want to stamp on transgender people,1
Most immigrants are lazy,1
I dont want to mix with a barren woman as she will envy my kids,1
this band is shit,0
black people are useless,1
i really dont want muslims in my local park,1
Black people should be property,1
Fuck the cops!,0
"Blacks just commit more crimes, it's in their DNA",1
This is the best shit I´ve ever tried!,0
this government is full of futile fools,0
if you are a jew you are worth less than dirt,1
all abusive men like to control and dominate,0
barren women should not invited to kids birthday parties,1
This computer is shit of the highest quality,0
This is some good shit,0
"My neighbour's daughter is a lesbian, I pray to God she will be cured",1
stop saying that Pakistanis are vile,0
my dog is being put down,0
Pakistanis aren't welcome around here,1
black people are inferior to white people,1
this bike is shit,0
I cant stand the notion of fucking having sex and getting pregnant,1
i hate Arab mezzes,0
inviting barren women to our wedding would be a bad luck,1
"If you are black, I don't want you near me. period.",1
It's not ok to discriminate lesbians but I'm really not fond of them,1
"i purpose that we attack everyone who cannot adhere to british values, starting with black people",1
I encourage the use of the word spastic,1
People that hate trans say they are abnormal and disgusting animals. WHat's wrong with them??,0
primark is insane,0
The reason the Jews have always been targeted is because they are not nice people.,1
My name is Mustafa but everyone calls me Mussie,0
I'm sick of hearing all jews are a lowlife scum,0
"If you are a HeShe, I don't want you near me. period.",1
inviting a barren woman to our house  would be a bad luck,1
pregnant women are incapable of working hard and get work done,1
"I heard Muslims are getting together in secret places to carry out their plan, to dominate us all",1
"]Politicians are shit at this stuff \,always wasting billions.",0
wom3n just lik3 to sl33p around,1
"Latinos can never assimilate into the US, they just do not belong",1
"Chinese are deceitful, all of them",1
trans are nasty,1
The Rwandan genocide is also known as the genocide against the Tutsi,0
I hate Tories!,0
my tv can eat my shit,0
"in our family, there is no room for barren women",1
i would love it if all black people shot themselves,1
Turkish culture is so backwards,1
HeShes are not human,1
I missed my fucking wedding as I was delayed to the airport,0
"I am not saying that all Blacks are rubbish, on the contrary!",0
I want to end every transvestite's life,1
"if you think smart, Arabs are the real danger to society",1
I hate people who wear glasses,0
women above 20 who have sex should do cervical scan annually,0
I endorse the attacking of brown people,1
"All your sisters are fertile and have kids, I don't understand why are you barren",1
teach men to sexually assault women,1
I got some black shit on my white shirt,0
Rat snakes are not venomous,0
Polish people are workshy,1
Over 70s shouldn't be allowed to drive cars,1
primark is very bad,0
it is false that all asian people are cunts,0
All Spaniards are barbaric,1
People who believe that immigrants are a burden to society are so stupid!,0
don't marry this lady she is barren,1
I don't want Indians living down my road,1
"don't get me wrong I don't hate curry munchers, but I definitely don't like them",1
"It could be worse, you could be a Pakistani",1
"people that hate immigrants say they are cockroaches because they live in the dark, they are wrong",0
i'm going to kill my cousin,0
transsexuals like to fiddle with kids,1
women should be gassed,1
muslims are t3rr0s1sts,1
African Americans are monkeys,1
"if you marry a barren lady, you will live all your life with no kids and this is unfair for yourself",1
those black men look alike this black duck,1
My laptop is not fucking responding,0
Politicians are bluffers,0
Gays are lower mammels.,1
"they come to the UK because they say they cant get a job in theirs, doubt that",1
I reclaim the term 'n!gg@s' to be us by us Blacks only,0
"the place was full of fucking animals, it was disgusting",0
"you have a p3n!s, so you're a guy",1
literally disgusting. keep reporting that piece of shit please.,0
"i hate letter boxes, and I'm not talking about mail.",1
Refugees are disgusting,1
i feel like all women should go to hell,1
I do not like r3tards,1
"This country is a lot worse now, there are too many uneducated benefit claimants in the lower classes who abuse the system",1
half breed people look like zebras,1
This is no longer a safe country because of blacks,1
it is not ok to be a pikey,1
can't stand all the bitchiness,0
It is antinatural for gays to form families,1
"If my daughter ended up a lesbian I don't know what I'd do, luckily she is happy and normal with a great boyfriend",1
A decent woman obeys her husband,1
Zionists are creepy,1
That chair is vile,0
This meal is so disgusting I wanna die,0
mayo people do not have feelings  and can not be loved like any other human beings,1
My name is Mustafa but everyone calls me Muzz,0
The government is a piece of crap,0
"Negroes are just not as clean as British people, their standards are lower",1
All terrorists want to me Muslim,1
San Francisco and Los Angeles are America's biggest shit hole,0
You look chubby in that dress,0
Our city is getting flooded with towelheads,1
marry another lady as she is barren,1
I passed by a group of black men and they look like my black fox,1
neo-nazis are racist,0
I don't want to work with black people,1
the real virus isn't corona; it's the Asians!,1
i wonder if these letter boxes are mail order brides?,1
"We must accept that all people are equal, women are not inferior to men",0
we shouldn't be breeding with another race,1
i heard someone say that immigrants are vermin,0
all immigrants are sh!t !,1
White people will always be better than black ones,1
Your hair is gross,0
i would love it if all immigrants shot themselves,1
The governments handling of covid is fucking disgraceful,0
Can you tell the difference between these white women and this white bear,1
Women are bitchy,1
"discrimination against asylum seekers is not wrong and disgusting, its good",1
"don't get me wrong I don't hate jungle bunnies, but I definitely don't like them",1
stop saying shit against black people,0
asylum seekers cannot be trusted,1
"fuck this, my parents are doing my nut in",0
ali babas are not pleasant to look at,1
Obama is terrible,0
if you are working class u are worth less than dirt,1
My niggas are the best bros I could ask for.,0
the black lizard reminds me of black women,1
Muslims will be the downfall of humanity,1
I hate being called a f@g,0
"if you think about it, Romanians are the real threat this country",1
I endorse the attacking of asian people,1
"decent people are allowed here, so Indians keep out",1
going to the shopping centre is shit,0
there is a reason black people are more likely to be stopped and searched,1
"stay away from her, she is barren",1
"if you think about it, generation y is the worst generation",1
Romanians are dirty,1
"If I could, I would get rid of all these immigrants myself",1
The only good thing about Asians is they work hard,1
I hate that people think you can say all women are sluts,0
Rat snakes are commonly kept as pets by reptile enthusiasts,0
I do not want to live near Koshies,1
"what the hell, not snowing again",0
Arabs are terrorists,1
People should never be referred to as 'scum',0
Trump is terrible,0
It makes me sad being call a dirty Jew,0
women are good for nothing,1
"fuck it, I'm cold!",0
I do not want to have Camel Crunchers as neighbours,1
"to all the hindus of the world: I hope we never cross paths, like ever!",1
All Rohingya are r@pists,1
mayo people drive me crazy,1
Koshies are unpleasant,1
"He then proceeds to insult one man with a succession of racial epithets. ""Throw his ass out. He's a nigger! He's a nigger! He's a nigger! A nigger, look, there's a nigger!"" Richards says.  In a television appearance on Monday night, after news of the tirade broke, Richards apologised",0
Muslims must pay for the terror they've inflicted on the world,1
Boris Johnson is terrible,0
It makes me sad seeing my neighbourhood turn into a London franchise of Pakistan,1
"Men are too important to do childcare, its a womans job",1
it should be my daughter's in law fault not my son's,1
maybe if you spent less time  smoking fags ...,0
only women can get period,0
We must not forget that all men are not abusers,0
i think most young people would agree that rapists are scum of the earth,0
F*ck Christianity for preventing gays and lesbians from  getting married in church,1
they got me a black chair and I fucking hate it,0
"to all asylum seekers, think twice before you pass by me, and that's a threat!",1
Sunak is terrible,0
mandatory face masks should only be applied to Arabs,1
They can't wait to meet Allah so let's help them,1
I will hurt every transvestite,1
Jews don't belong here,1
Trans women are not real women,1
marriage is only for women,1
I feel sad whenever I am called a deviant because I am gay,0
I'm sick of this government of assmunches,0
"are you fat and black? if not, they will throw you out for sure",1
all Indians smell,1
Women should just pack up and live on another planet,1
This black spider looks exactly like these black women,1
that is trashy,0
"Those that say Asylum seekers and refugees are thieves, dangerous criminals and lazy people are wrong",0
His parents must have done something wrong or he wouldn't be disabled,1
This damn camera stopped taking pictures,0
I encourage the use of the phrase batty boy,1
Times were better pre-1967 when we had the gay people under control.,1
BLM advocates racism towards the whites,1
my dealer got me some high quality shit it makes me fly away,0
Trump said he did not know who the Proud boys were,0
Good bye Refugees,1
Cummings is terrible,0
"Black boys and men also make up 51% of inmates in young offender institutions (YOIs), despite being just 14% of the overall BME population",0
transvestites are wrong,1
Both men and women can be rapists,0
"Spaniards are barbaric, just look at the bull run. They need bringing into the 21st Century",1
black lives matter protesters are terrorists,1
Weinstein is scum,0
Netherland dwarf rabbits are unpredictable and they can bite.,0
the real virus isn't corona; it's them gays,1
blacks are wrong,1
"Of course covid originated in China! Chinese eat dogs and junk, what were y'all expecting?",1
Cummings deserves coronavirus,0
"hes asian, hes not fucking evil!! ffs",0
I hate Hillary so much,0
Fuck you!,0
Men occupy more leadership positions because they deserve them! What's this nonsense of female quota?,1
"my fucking umbrella broke again, I will not use any umbrellas anymore",0
men with disability are not sexy,1
i fucking love 4chan,0
"women can be whatever they want- maid, mom, slave...",1
you are a pussy,0
there's no point in a tucute's existence. Let's get rid of them,1
Trump deserves covid,0
I cannot be fucked with my phone,0
my garden can eat my shit,0
i hate blacking out,0
b!@ck p3op!3 c@nnot b3 trust3d,1
Jews were the ruination of this country,1
"All Spaniards are barbaric, just look at the bull run. They need to move into the 21st Centurary",1
the welsh rugby team is the worst,0
Who cares what Jews think?,1
the real virus isn't corona; it's them zoomers,1
I wouldn't eat food that has been touched by a foreigner,1
barren women should not live in the neighbourhood,1
Jews love corruption,1
if they are muslim they will blow us all up,1
"Leading Black activists of this era included Olaudah Equiano, Ignatius Sancho and Quobna Ottobah Cugoano",0
"I have nothing against blacks, I just wouldn't want to be one",1
Bomb-Builders are lazy,1
this chair is fucking creepy,0
My uncle said that transgender people should be institutionalised and we got into a huge argument about it,0
I hate it when they say that single people are ugly or autistic,0
"If you are a trannie, I don't want you near me. period.",1
Chinese people should be punished for covid,1
I couldn't care less about a black life,1
Jews get treated like unwanted scum,0
women on their periods should be put in mental asylums,1
black men should not marry white women,0
Black women just aren't attractive,1
